time,ctrlMel.statePos_x,ctrlMel.statePos_y,ctrlMel.statePos_z,ctrlMel.setpointPos_x,ctrlMel.setpointPos_y,ctrlMel.setpointPos_z,ctrlMel.log_data,
16.843,0.235314,-0.145636,0.0340019,0,0,0,0,
16.853,0.235316,-0.145508,0.0340017,0,0,0,0,
16.863,0.235316,-0.145956,0.0340011,0,0,0,0,
16.873,0.235239,-0.145434,0.0340004,0,0,0,0,
16.883,0.235279,-0.14541,0.0340009,0,0,0,0,
16.893,0.235297,-0.145397,0.0340016,0,0,0,0,
16.903,0.235305,-0.145389,0.0340023,0,0,0,0,
16.913,0.235476,-0.145591,0.0340045,0,0,0,0,
16.923,0.235562,-0.145692,0.0340056,0,0,0,0,
16.933,0.235296,-0.146135,0.0340033,0,0,0,0,
16.943,0.235307,-0.145762,0.0340041,0.235627,-0.146562,0.0340082,0,
16.953,0.235306,-0.146083,0.0340045,0.235627,-0.146562,0.0340082,0,
16.963,0.23545,-0.146446,0.0340092,0.235627,-0.146562,0.0340083,0,
16.973,0.235246,-0.145537,0.034008,0.235627,-0.146562,0.0340086,0,
16.983,0.235248,-0.145956,0.0340109,0.235627,-0.146562,0.0340092,0,
16.993,0.23524,-0.145647,0.0340117,0.235627,-0.146562,0.0340105,0,
17.003,0.235226,-0.146,0.0340175,0.235627,-0.146562,0.0340126,0,
17.013,0.23521,-0.146171,0.0340263,0.235627,-0.146562,0.0340159,0,
17.023,0.23529,-0.14643,0.0340477,0.235627,-0.146562,0.0340208,0,
17.033,0.235155,-0.146272,0.0340293,0.235627,-0.146562,0.0340277,0,
17.043,0.235152,-0.146296,0.0340354,0.235627,-0.146562,0.0340369,0,
17.053,0.235143,-0.146302,0.0340407,0.235627,-0.146562,0.0340491,0,
17.063,0.235195,-0.146462,0.0345988,0.235627,-0.146562,0.0340647,0,
17.073,0.235206,-0.146534,0.034908,0.235627,-0.146562,0.0340843,0,
17.083,0.235098,-0.146276,0.0350233,0.235627,-0.146562,0.0341085,0,
17.093,0.235089,-0.146277,0.0350453,0.235627,-0.146562,0.0341378,0,
17.103,0.235078,-0.146273,0.035053,0.235627,-0.146562,0.0341731,0,
17.113,0.235094,-0.146406,0.0351084,0.235627,-0.146562,0.0342149,0,
17.123,0.235089,-0.146464,0.0351703,0.235627,-0.146562,0.034264,0,
17.133,0.235037,-0.145981,0.0351086,0.235627,-0.146562,0.034321,0,
17.143,0.235026,-0.145595,0.0351245,0.235627,-0.146562,0.0343868,0,
17.153,0.235014,-0.145395,0.0351371,0.235627,-0.146562,0.0344621,0,
17.163,0.235,-0.145288,0.0351564,0.235627,-0.146562,0.0345478,0,
17.173,0.234971,-0.14532,0.0358194,0.235627,-0.146562,0.0346445,0,
17.183,0.234939,-0.14532,0.0362267,0.235627,-0.146562,0.0347532,0,
17.193,0.234184,-0.145151,0.0367715,0.235627,-0.146562,0.0348747,0,
17.203,0.234036,-0.145138,0.0371566,0.235627,-0.146562,0.0350098,0,
17.213,0.233951,-0.145123,0.0379127,0.235627,-0.146562,0.0351595,0,
17.223,0.233816,-0.145157,0.0387257,0.235627,-0.146562,0.0353245,0,
17.233,0.233868,-0.145081,0.0393526,0.235627,-0.146562,0.0355058,0,
17.243,0.233838,-0.145075,0.040133,0.235627,-0.146562,0.0357043,0,
17.253,0.233814,-0.144552,0.041057,0.235627,-0.146562,0.0359209,0,
17.263,0.233281,-0.144284,0.0420529,0.235627,-0.146562,0.0361563,0,
17.273,0.232871,-0.144151,0.0436576,0.235627,-0.146562,0.0364117,0,
17.283,0.232831,-0.144041,0.0442469,0.235627,-0.146562,0.0366879,0,
17.293,0.232262,-0.14402,0.0452295,0.235627,-0.146562,0.0369856,0,
17.303,0.231974,-0.143495,0.0462311,0.235627,-0.146562,0.0373061,0,
17.313,0.231828,-0.143228,0.0472386,0.235627,-0.146562,0.03765,0,
17.323,0.231756,-0.143094,0.0482494,0.235627,-0.146562,0.0380183,0,
17.333,0.231273,-0.143005,0.0499627,0.235627,-0.146562,0.0384119,0,
17.343,0.23097,-0.142986,0.0511324,0.235627,-0.146562,0.0388318,0,
17.353,0.230823,-0.142465,0.0522089,0.235627,-0.146562,0.0392787,0,
17.363,0.230755,-0.142207,0.0532307,0.235627,-0.146562,0.0397536,0,
17.373,0.230055,-0.142062,0.0548455,0.235627,-0.146562,0.0402573,0,
17.383,0.229706,-0.141998,0.0561182,0.235627,-0.146562,0.0407906,0,
17.393,0.229779,-0.141992,0.0565835,0.235627,-0.146562,0.0413546,0,
17.403,0.229746,-0.141479,0.0573149,0.235627,-0.146562,0.0419499,0,
17.413,0.229222,-0.141225,0.0581528,0.235627,-0.146562,0.0425776,0,
17.423,0.228816,-0.141094,0.0595363,0.235627,-0.146562,0.0432383,0,
17.433,0.228817,-0.14102,0.0600797,0.235627,-0.146562,0.0439328,0,
17.443,0.228266,-0.141011,0.0604496,0.235627,-0.146562,0.0446621,0,
17.453,0.227999,-0.141011,0.0611152,0.235627,-0.146562,0.0454268,0,
17.463,0.227719,-0.140518,0.0618886,0.235627,-0.146562,0.0462275,0,
17.473,0.227631,-0.140272,0.0626903,0.235627,-0.146562,0.0470654,0,
17.483,0.227812,-0.140081,0.0630298,0.235627,-0.146562,0.0479409,0,
17.493,0.227821,-0.140063,0.0633654,0.235627,-0.146562,0.0488548,0,
17.503,0.227838,-0.140061,0.0640409,0.235627,-0.146562,0.0498077,0,
17.513,0.22779,-0.14011,0.0647624,0.235627,-0.146562,0.0508005,0,
17.524,0.227788,-0.140151,0.0651343,0.235627,-0.146562,0.0520453,0,
17.533,0.227137,-0.140093,0.0654192,0.235627,-0.146562,0.052908,0,
17.543,0.22702,-0.140106,0.0661225,0.235627,-0.146562,0.054024,0,
17.553,0.226969,-0.140117,0.0664852,0.235627,-0.146562,0.0551821,0,
17.563,0.226913,-0.140198,0.0676724,0.235627,-0.146562,0.0563832,0,
17.573,0.226897,-0.140245,0.0688461,0.235627,-0.146562,0.0578819,0,
17.583,0.226901,-0.140276,0.0700131,0.235627,-0.146562,0.0589165,0,
17.593,0.227732,-0.140148,0.0703052,0.235627,-0.146562,0.0602492,0,
